,Loading,Дата,"Работа, ч",energy_production
0,2015-01А,2015-04-21,24.0,39.164
1,2015-01А,2015-04-22,24.0,137.898
2,2015-01А,2015-04-23,24.0,141.746
3,2015-01А,2015-04-24,24.0,142.223
4,2015-01А,2015-04-25,24.0,141.975
5,2015-01А,2015-04-26,24.0,140.369
6,2015-01А,2015-04-27,24.0,138.208
7,2015-01А,2015-04-28,24.0,51.627
8,2015-01А,2015-04-29,0.0,0.0
9,2015-01А,2015-04-30,0.0,0.0
10,2015-01А,2015-05-01,0.0,0.0
11,2015-01А,2015-05-02,0.0,0.0
12,2015-01А,2015-05-03,0.0,0.0
13,2015-01А,2015-05-04,0.0,0.0
14,2015-01А,2015-05-05,0.0,0.0
15,2015-01А,2015-05-06,0.0,0.0
16,2015-01А,2015-05-07,0.0,0.0
17,2015-01А,2015-05-08,0.0,0.0
18,2015-01А,2015-05-09,0.0,0.0
19,2015-01А,2015-05-10,0.0,0.0
20,2015-01А,2015-05-11,0.0,0.0
21,2015-01А,2015-05-12,0.0,0.0
22,2015-01А,2015-05-13,0.0,0.0
23,2015-01А,2015-05-14,0.0,0.0
24,2015-01А,2015-05-15,0.0,0.0
25,2015-01А,2015-05-16,0.0,0.0
26,2015-01А,2015-05-17,0.0,0.0
27,2015-01А,2015-05-18,0.0,0.0
28,2015-01Б,2015-05-19,24.0,63.67
29,2015-01Б,2015-05-20,24.0,129.92
30,2015-01Б,2015-05-21,24.0,129.02
31,2015-01Б,2015-05-22,24.0,128.82
32,2015-01Б,2015-05-23,24.0,130.39
33,2015-01Б,2015-05-24,24.0,130.49
34,2015-01Б,2015-05-25,24.0,130.48
35,2015-01Б,2015-05-26,24.0,127.5
36,2015-01Б,2015-05-27,24.0,125.17
37,2015-01Б,2015-05-28,24.0,127.22
38,2015-01Б,2015-05-29,24.0,87.05
39,2015-01Б,2015-05-30,0.0,0.0
40,2015-01Б,2015-05-31,0.0,0.0
41,2015-01Б,2015-06-01,0.0,0.0
42,2015-01Б,2015-06-02,24.0,59.28
43,2015-01Б,2015-06-03,24.0,129.0
44,2015-01Б,2015-06-04,24.0,129.64
45,2015-01Б,2015-06-05,24.0,136.51
46,2015-01Б,2015-06-06,24.0,47.99
47,2015-01Б,2015-06-07,0.0,0.0
48,2015-01Б,2015-06-08,0.0,0.0
49,2015-01Б,2015-06-09,0.0,0.0
50,2015-01Б,2015-06-10,0.0,0.0
51,2015-01Б,2015-06-11,0.0,0.0
52,2015-01Б,2015-06-12,0.0,0.0
53,2015-01Б,2015-06-13,0.0,0.0
54,2015-01Б,2015-06-14,0.0,0.0
55,2015-01Б,2015-06-15,0.0,0.0
56,2015-06,2015-06-16,14.0,55.73
57,2015-06,2015-06-17,24.0,129.46
58,2015-06,2015-06-18,24.0,135.91
59,2015-06,2015-06-19,24.0,137.16
60,2015-06,2015-06-20,24.0,132.78
61,2015-06,2015-06-21,24.0,137.54
62,2015-06,2015-06-22,12.0,68.79
63,2015-06,2015-06-23,0.0,0.0
64,2015-06,2015-06-24,0.0,0.0
65,2015-06,2015-06-25,0.0,0.0
66,2015-06,2015-06-26,0.0,0.0
67,2015-06,2015-06-27,0.0,0.0
68,2015-06,2015-06-28,0.0,0.0
69,2015-06,2015-06-29,12.0,59.239
